["port 1","LEFT"]
["port 3","RIGHT"]
["port 5","RIGHT"]
["port 4","RIGHT"]
["port 6","RIGHT"]
["port 2","RIGHT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(45, 3)
1.9472790304103928e+14 2.6406382900306768e-03 1.6576048711750516e+01
1.9482856734362309e+14 1.6890075285655767e-03 1.6517724088460987e+01
1.9492933577656275e+14 4.1794865956096879e-03 1.6247914204137274e+01
1.9503020850151547e+14 1.1035770917129739e-02 1.7113601073645995e+01
1.9513118568047338e+14 8.1802785588919961e-03 1.8930211058288016e+01
1.9523226747576409e+14 6.1765872675048350e-03 2.0641886727018420e+01
1.9533345405005184e+14 1.5405359459680159e-03 2.2929796988416363e+01
1.9543474556633825e+14 1.7026180187556623e-03 2.4578648847833200e+01
1.9553614218796325e+14 2.2320186215270682e-03 2.5352833198609073e+01
1.9563764407860584e+14 2.7855127471817882e-03 2.5895872545065963e+01
1.9573925140228519e+14 3.0844734864978888e-03 2.6314648028499320e+01
1.9584096432336128e+14 3.1944445030604070e-03 2.6649784411494981e+01
1.9594278300653594e+14 4.3283055237293977e-03 2.6947284240912229e+01
("port 1","mode 1",1,"port 2",1,"transmission")
(45, 3)
1.9156067603833869e+14 4.2228782970166018e-01 -6.4096721061729353e-02
1.9165809156556488e+14 4.2052373844220020e-01 2.5903072197861016e-01
1.9175560622183459e+14 4.1757490063606179e-01 5.7831982274627447e-01
1.9185322015853397e+14 4.1522956121922111e-01 8.9179051197539039e-01
1.9195093352735741e+14 4.1802203639827734e-01 1.1999315183074062e+00
1.9204874648030866e+14 4.2340698090606343e-01 1.5204911715600580e+00
1.9214665916970141e+14 4.2649364658588634e-01 1.8476899905415736e+00
1.9224467174816003e+14 4.2776024930664830e-01 2.1760946891268818e+00
1.9234278436862062e+14 4.2800126412716843e-01 2.5039611146823808e+00
1.9244099718433150e+14 4.2816499716040679e-01 2.8308154261375842e+00
1.9253931034885419e+14 4.2765699767019499e-01 3.1592403713942834e+00
1.9263772401606428e+14 4.2633487408465465e-01 3.4882508232626472e+00
1.9273623834015197e+14 4.2360759225176237e-01 3.8173524753243853e+00
1.9283485347562316e+14 4.1855711578333793e-01 4.1438904942845323e+00
1.9293356957730000e+14 4.1055354931910276e-01 4.4569488952625624e+00
1.9303238680032197e+14 4.1351683278068030e-01 4.7497418932433924e+00
1.9313130530014641e+14 4.2283641918511577e-01 5.0740731072359413e+00
1.9323032523254962e+14 4.2824014523080089e-01 5.4073051784199748e+00
1.9332944675362744e+14 4.3051310328157361e-01 5.7430028785797536e+00
1.9342867001979619e+14 4.3092535431030482e-01 6.0774858691221540e+00
1.9352799518779344e+14 4.3059219708532270e-01 6.4107935314259930e+00
1.9362742241467891e+14 4.3024611235421856e-01 6.7432245141194098e+00
1.9372695185783522e+14 4.2908767946801324e-01 7.0774219015587825e+00
1.9382658367496878e+14 4.2706697302626773e-01 7.4152845103076395e+00
1.9392631802411056e+14 4.2092618796341358e-01 7.7574769904194838e+00
1.9402615506361700e+14 3.9932777654101997e-01 8.0807213056273710e+00
1.9412609495217072e+14 4.0522471301992036e-01 8.3537580706747097e+00
1.9422613784878159e+14 4.1990605276418352e-01 8.6747318609021846e+00
1.9432628391278728e+14 4.2783495275580058e-01 9.0170028701086533e+00
1.9442653330385438e+14 4.3002635102802916e-01 9.3609146402993808e+00
1.9452688618197906e+14 4.2982648159122777e-01 9.7028679490129512e+00
1.9462734270748803e+14 4.2821686053684827e-01 1.0043804447268556e+01
1.9472790304103928e+14 4.2523167909755666e-01 1.0383972030919647e+01
1.9482856734362309e+14 4.2066404477994152e-01 1.0722839777907231e+01
1.9492933577656275e+14 4.1405990108843144e-01 1.1058654108462855e+01
1.9503020850151547e+14 4.0518525025928803e-01 1.1387041210353260e+01
1.9513118568047338e+14 3.9130713908465836e-01 1.1697047386227446e+01
1.9523226747576409e+14 4.0768606881801900e-01 1.1979496203517895e+01
1.9533345405005184e+14 4.2041472884351533e-01 1.2325139518438515e+01
1.9543474556633825e+14 4.2385230995710410e-01 1.2674508462756869e+01
1.9553614218796325e+14 4.2433591603476695e-01 1.3020271114893845e+01
1.9563764407860584e+14 4.2362299171793621e-01 1.3364338885947834e+01
1.9573925140228519e+14 4.2214130278510503e-01 1.3704542470514404e+01
1.9584096432336128e+14 4.1980257207308791e-01 1.4042418091844002e+01
1.9594278300653594e+14 4.1561790159965306e-01 1.4383036610600641e+01
("port 1","mode 1",1,"port 3",1,"transmission")
(45, 3)
1.9156067603833869e+14 4.2092626440862674e-01 -1.9206392469044606e+00
1.9165809156556488e+14 4.1813518823476181e-01 -1.5978476538127908e+00
1.9175560622183459e+14 4.1418583534691628e-01 -1.2807078673450900e+00
1.9185322015853397e+14 4.1080997516464651e-01 -9.7712842739393813e-01
1.9195093352735741e+14 4.1464383109227176e-01 -6.6670227207936150e-01
1.9204874648030866e+14 4.1760734238470815e-01 -3.4575238130416880e-01
1.9214665916970141e+14 4.2151330093457279e-01 -2.1626580666640884e-02
1.9224467174816003e+14 4.2355356481022771e-01 3.0655299742790304e-01
1.9234278436862062e+14 4.2386977220629324e-01 6.3538784557798544e-01
1.9244099718433150e+14 4.2323422945720840e-01 9.6242336025474962e-01
1.9253931034885419e+14 4.2197552031652652e-01 1.2910509296497321e+00
1.9263772401606428e+14 4.1941766628218030e-01 1.6198863259500784e+00
1.9273623834015197e+14 4.1476647906666880e-01 1.9469117393617565e+00
1.9283485347562316e+14 4.0839909501683835e-01 2.2658789574607816e+00
1.9293356957730000e+14 4.0359728200998590e-01 2.5740581645389797e+00
1.9303238680032197e+14 4.1023820133388611e-01 2.8604476396813374e+00
1.9313130530014641e+14 4.1815832146695608e-01 3.1888341004180925e+00
1.9323032523254962e+14 4.2433109767368660e-01 3.5211653788434338e+00
1.9332944675362744e+14 4.2768584022185496e-01 3.8597119836823590e+00
1.9342867001979619e+14 4.2806881197370733e-01 4.1983293249075411e+00
1.9352799518779344e+14 4.2689597884250335e-01 4.5356874165063381e+00
1.9362742241467891e+14 4.2419076314989718e-01 4.8731698279602735e+00
1.9372695185783522e+14 4.2033711005435237e-01 5.2104354536252124e+00
1.9382658367496878e+14 4.1431132099470908e-01 5.5467322881683323e+00
1.9392631802411056e+14 4.0334293436721980e-01 5.8809500639489576e+00
1.9402615506361700e+14 3.8213215320573318e-01 6.1784581575485324e+00
1.9412609495217072e+14 3.9070892772921861e-01 6.4359197716918262e+00
1.9422613784878159e+14 4.1449763780634791e-01 6.7630904591201793e+00
1.9432628391278728e+14 4.2349053957304550e-01 7.1144687893998704e+00
1.9442653330385438e+14 4.2469370270222478e-01 7.4627160563157435e+00
1.9452688618197906e+14 4.2334242070802558e-01 7.8051131443312425e+00
1.9462734270748803e+14 4.2117675612864680e-01 8.1442333470335253e+00
1.9472790304103928e+14 4.1855917756575739e-01 8.4819337871131868e+00
1.9482856734362309e+14 4.1522453413856830e-01 8.8194840181479730e+00
1.9492933577656275e+14 4.1016764921057963e-01 9.1571298586812322e+00
1.9503020850151547e+14 4.0096752732340402e-01 9.4914130489151578e+00
1.9513118568047338e+14 3.8824229312934605e-01 9.8086300079922424e+00
1.9523226747576409e+14 4.0766798866757320e-01 1.0070885853240481e+01
1.9533345405005184e+14 4.1842805901270680e-01 1.0425351128492496e+01
1.9543474556633825e+14 4.1999813205014036e-01 1.0778471737723883e+01
1.9553614218796325e+14 4.1854398947921295e-01 1.1125759761706744e+01
1.9563764407860584e+14 4.1622557424329298e-01 1.1470089855080166e+01
1.9573925140228519e+14 4.1319206514195467e-01 1.1810791053455903e+01
1.9584096432336128e+14 4.0867512547181517e-01 1.2149459835407550e+01
1.9594278300653594e+14 4.0034142479374268e-01 1.2490439817916736e+01
("port 1","mode 1",1,"port 4",1,"transmission")
(45, 3)
1.9156067603833869e+14 4.1242112594172758e-01 -2.5392159961815568e+00
1.9165809156556488e+14 4.0863034985059005e-01 -2.2125687229367310e+00
1.9175560622183459e+14 4.0215732971225876e-01 -1.8929317543479742e+00
1.9185322015853397e+14 3.8937236401517161e-01 -1.5835803396635040e+00
1.9195093352735741e+14 3.9424480216655361e-01 -1.3029731701002945e+00
1.9204874648030866e+14 4.0664489663172165e-01 -9.8079521718037710e-01
1.9214665916970141e+14 4.1247930301581315e-01 -6.5319449186783540e-01
1.9224467174816003e+14 4.1530135891039882e-01 -3.2132410974530934e-01
1.9234278436862062e+14 4.1572841117460735e-01 1.1520833799488971e-02
1.9244099718433150e+14 4.1440350552515415e-01 3.4355327794409329e-01
1.9253931034885419e+14 4.1133432585828889e-01 6.7569782354843488e-01
1.9263772401606428e+14 4.0608328274428718e-01 1.0066669836927571e+00
1.9273623834015197e+14 3.9763218675745859e-01 1.3330730210071924e+00
1.9283485347562316e+14 3.8646153086995511e-01 1.6444971393940444e+00
1.9293356957730000e+14 3.7766927421449459e-01 1.9277573538397028e+00
1.9303238680032197e+14 3.9019117860812286e-01 2.1756226527289897e+00
1.9313130530014641e+14 4.1166678895939146e-01 2.5232221927197513e+00
1.9323032523254962e+14 4.1990498674726889e-01 2.8723200063460341e+00
1.9332944675362744e+14 4.2295179834468372e-01 3.2192082368061161e+00
1.9342867001979619e+14 4.2304258524827304e-01 3.5632628148770449e+00
1.9352799518779344e+14 4.2146590567159942e-01 3.9057575989662854e+00
1.9362742241467891e+14 4.1817649023919384e-01 4.2498919646405184e+00
1.9372695185783522e+14 4.1195416067649199e-01 4.5921449786047281e+00
1.9382658367496878e+14 4.0132806728809250e-01 4.9338592948691433e+00
1.9392631802411056e+14 3.8281838770141574e-01 5.2661881400541031e+00
1.9402615506361700e+14 3.5020368783241890e-01 5.5450956666114966e+00
1.9412609495217072e+14 3.8330155716853315e-01 5.7445256524426727e+00
1.9422613784878159e+14 4.1159172765411356e-01 6.1013693033331631e+00
1.9432628391278728e+14 4.2221750999256374e-01 6.4691793937996884e+00
1.9442653330385438e+14 4.2197865323685230e-01 6.8284576252047877e+00
1.9452688618197906e+14 4.1817252635408669e-01 7.1776164337457358e+00
1.9462734270748803e+14 4.1318701296160787e-01 7.5203144588577082e+00
1.9472790304103928e+14 4.0766924708917895e-01 7.8591152086022369e+00
1.9482856734362309e+14 4.0126660624327259e-01 8.1956955752135432e+00
1.9492933577656275e+14 3.9273295833366556e-01 8.5289005167531222e+00
1.9503020850151547e+14 3.8020450580782034e-01 8.8518726266179328e+00
1.9513118568047338e+14 3.6366246300832084e-01 9.1200804893499914e+00
1.9523226747576409e+14 3.9690963522344080e-01 9.3808801388528185e+00
1.9533345405005184e+14 4.1785641720423161e-01 9.7572211854654363e+00
1.9543474556633825e+14 4.2146859746786292e-01 1.0128212936567216e+01
1.9553614218796325e+14 4.1980770890970065e-01 1.0488438738174906e+01
1.9563764407860584e+14 4.1614846937386107e-01 1.0843346880264235e+01
1.9573925140228519e+14 4.1116425419433067e-01 1.1193226999835453e+01
1.9584096432336128e+14 4.0389235455520833e-01 1.1542476455759942e+01
1.9594278300653594e+14 3.8965210135718198e-01 1.1897745324207527e+01
("port 1","mode 1",1,"port 5",1,"transmission")
(45, 3)
1.9156067603833869e+14 4.2092625049572807e-01 -1.9206392149326246e+00
1.9165809156556488e+14 4.1813517024360924e-01 -1.5978476383550126e+00
1.9175560622183459e+14 4.1418581099319157e-01 -1.2807078285574793e+00
1.9185322015853397e+14 4.1080995142631238e-01 -9.7712841349927337e-01
1.9195093352735741e+14 4.1464381020697572e-01 -6.6670223715868993e-01
1.9204874648030866e+14 4.1760732167269510e-01 -3.4575236240064089e-01
1.9214665916970141e+14 4.2151325947374446e-01 -2.1626540626618337e-02
1.9224467174816003e+14 4.2355352311284766e-01 3.0655305311672365e-01
1.9234278436862062e+14 4.2386972294805181e-01 6.3538788846455008e-01
1.9244099718433150e+14 4.2323420297274317e-01 9.6242337979070181e-01
1.9253931034885419e+14 4.2197549155304404e-01 1.2910509449503456e+00
1.9263772401606428e+14 4.1941762782617875e-01 1.6198863563555217e+00
1.9273623834015197e+14 4.1476645508608345e-01 1.9469117676022742e+00
1.9283485347562316e+14 4.0839907211300186e-01 2.2658789884551567e+00
1.9293356957730000e+14 4.0359727066128676e-01 2.5740581908909546e+00
1.9303238680032197e+14 4.1023816364189969e-01 2.8604476706980742e+00
1.9313130530014641e+14 4.1815827559937374e-01 3.1888341298367191e+00
1.9323032523254962e+14 4.2433106327642756e-01 3.5211653931926059e+00
1.9332944675362744e+14 4.2768578834599313e-01 3.8597120149730322e+00
1.9342867001979619e+14 4.2806878100044832e-01 4.1983293450994186e+00
1.9352799518779344e+14 4.2689593407044180e-01 4.5356874549843411e+00
1.9362742241467891e+14 4.2419074129709122e-01 4.8731698357063831e+00
1.9372695185783522e+14 4.2033707967454581e-01 5.2104354659558165e+00
1.9382658367496878e+14 4.1431129137466938e-01 5.5467323164690541e+00
1.9392631802411056e+14 4.0334290619551383e-01 5.8809500764848215e+00
1.9402615506361700e+14 3.8213211936822494e-01 6.1784581733328086e+00
1.9412609495217072e+14 3.9070890564369781e-01 6.4359197877007404e+00
1.9422613784878159e+14 4.1449760228860999e-01 6.7630904641884397e+00
1.9432628391278728e+14 4.2349050145135492e-01 7.1144687821759485e+00
1.9442653330385438e+14 4.2469367023839416e-01 7.4627160730227589e+00
1.9452688618197906e+14 4.2334238973045513e-01 7.8051131375174156e+00
1.9462734270748803e+14 4.2117671709342425e-01 8.1442333607585944e+00
1.9472790304103928e+14 4.1855915660169457e-01 8.4819337696232644e+00
1.9482856734362309e+14 4.1522449631587632e-01 8.8194840269812911e+00
1.9492933577656275e+14 4.1016763236029585e-01 9.1571298494808175e+00
1.9503020850151547e+14 4.0096749650793778e-01 9.4914130618402961e+00
1.9513118568047338e+14 3.8824225885569497e-01 9.8086299999725988e+00
1.9523226747576409e+14 4.0766797622610090e-01 1.0070885837731645e+01
1.9533345405005184e+14 4.1842803097245923e-01 1.0425351112410873e+01
1.9543474556633825e+14 4.1999808430508145e-01 1.0778471744546293e+01
1.9553614218796325e+14 4.1854397674400262e-01 1.1125759755297731e+01
1.9563764407860584e+14 4.1622554008368778e-01 1.1470089862731417e+01
1.9573925140228519e+14 4.1319203352576001e-01 1.1810791027702319e+01
1.9584096432336128e+14 4.0867508774550743e-01 1.2149459852704490e+01
1.9594278300653594e+14 4.0034135987055314e-01 1.2490439810445345e+01
("port 1","mode 1",1,"port 6",1,"transmission")
(45, 3)
1.9156067603833869e+14 4.2228784703162831e-01 -6.4096710652479294e-02
1.9165809156556488e+14 4.2052376024775318e-01 2.5903071602246264e-01
1.9175560622183459e+14 4.1757493360683839e-01 5.7831982881108290e-01
1.9185322015853397e+14 4.1522958616033290e-01 8.9179050137536564e-01
1.9195093352735741e+14 4.1802206612409648e-01 1.1999315247727906e+00
1.9204874648030866e+14 4.2340700671362219e-01 1.5204911650039985e+00
1.9214665916970141e+14 4.2649370130434694e-01 1.8476899794366415e+00
1.9224467174816003e+14 4.2776030544160498e-01 2.1760946915068016e+00
1.9234278436862062e+14 4.2800132991165785e-01 2.5039610998118915e+00
1.9244099718433150e+14 4.2816503038455983e-01 2.8308154164940178e+00
1.9253931034885419e+14 4.2765703076881689e-01 3.1592403569684588e+00
1.9263772401606428e+14 4.2633492444361054e-01 3.4882508119580602e+00
1.9273623834015197e+14 4.2360762419585818e-01 3.8173524740927207e+00
1.9283485347562316e+14 4.1855714695996460e-01 4.1438904988322109e+00
1.9293356957730000e+14 4.1055356632202644e-01 4.4569489035567535e+00
1.9303238680032197e+14 4.1351688129633568e-01 4.7497418802333007e+00
1.9313130530014641e+14 4.2283648119845441e-01 5.0740730842022863e+00
1.9323032523254962e+14 4.2824018914672846e-01 5.4073051554236571e+00
1.9332944675362744e+14 4.3051317048624183e-01 5.7430028527767281e+00
1.9342867001979619e+14 4.3092539446409300e-01 6.0774858563884750e+00
1.9352799518779344e+14 4.3059225777773780e-01 6.4107935163535172e+00
1.9362742241467891e+14 4.3024613747176499e-01 6.7432245029189914e+00
1.9372695185783522e+14 4.2908771489007541e-01 7.0774218851318755e+00
1.9382658367496878e+14 4.2706701079891191e-01 7.4152845074491101e+00
1.9392631802411056e+14 4.2092621998172475e-01 7.7574769795715337e+00
1.9402615506361700e+14 3.9932781691047725e-01 8.0807212884417829e+00
1.9412609495217072e+14 4.0522474048648777e-01 8.3537580613499891e+00
1.9422613784878159e+14 4.1990609509463994e-01 8.6747318293934512e+00
1.9432628391278728e+14 4.2783499694209148e-01 9.0170028283690122e+00
1.9442653330385438e+14 4.3002639200272424e-01 9.3609146236531551e+00
1.9452688618197906e+14 4.2982651286908707e-01 9.7028679193921050e+00
1.9462734270748803e+14 4.2821691052340860e-01 1.0043804422080559e+01
1.9472790304103928e+14 4.2523169916728071e-01 1.0383972001399943e+01
1.9482856734362309e+14 4.2066408894571050e-01 1.0722839750090118e+01
1.9492933577656275e+14 4.1405991658035862e-01 1.1058654089101704e+01
1.9503020850151547e+14 4.0518528567180484e-01 1.1387041192354980e+01
1.9513118568047338e+14 3.9130717952387234e-01 1.1697047346876955e+01
1.9523226747576409e+14 4.0768608052356453e-01 1.1979496182539256e+01
1.9533345405005184e+14 4.2041475532576594e-01 1.2325139481547955e+01
1.9543474556633825e+14 4.2385236981149388e-01 1.2674508424792965e+01
1.9553614218796325e+14 4.2433592331743947e-01 1.3020271102167994e+01
1.9563764407860584e+14 4.2362303241082633e-01 1.3364338863240437e+01
1.9573925140228519e+14 4.2214133496497414e-01 1.3704542424855452e+01
1.9584096432336128e+14 4.1980261850304212e-01 1.4042418072580871e+01
1.9594278300653594e+14 4.1561797745646095e-01 1.4383036549792255e+01
("port 2","mode 1",1,"port 1",1,"transmission")
(45, 3)
1.9156067603833869e+14 4.2175017515193242e-01 -6.3505673070641200e-02
1.9165809156556488e+14 4.2017463802685806e-01 2.5939711182554070e-01
1.9175560622183459e+14 4.1710536705952256e-01 5.7876015928881985e-01
1.9185322015853397e+14 4.1315271427589945e-01 8.9079347404914422e-01
1.9195093352735741e+14 4.1727722149432750e-01 1.1978388705415695e+00
1.9204874648030866e+14 4.2253304845311668e-01 1.5218462012821832e+00
1.9214665916970141e+14 4.2517251523514865e-01 1.8463282649690176e+00
1.9224467174816003e+14 4.2720170794364110e-01 2.1725559065032294e+00
