["port 1","LEFT"]
["port 3","RIGHT"]
["port 5","RIGHT"]
["port 4","RIGHT"]
["port 6","RIGHT"]
["port 2","RIGHT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(30, 3)
1.9849272333333331e+14 3.8226347075752770e-01 3.5097943909648393e+01
1.9894694009153316e+14 3.9803464940800132e-01 3.6600953879515558e+01
1.9940324041284403e+14 3.5527962920505585e-01 3.8033915826012652e+01
1.9986163866666666e+14 3.8426381401456366e-01 3.9501345417242312e+01
("port 1","mode 1",1,"port 3",1,"transmission")
(30, 3)
1.8737028625000000e+14 4.0734030829820678e-01 -3.0667599024777821e+00
1.8777497369330453e+14 4.1293329940628570e-01 -1.7702409502501959e+00
1.8818141303030303e+14 4.1779455246938574e-01 -4.2138451513019748e-01
1.8858961566160522e+14 4.0893609637975842e-01 9.0497995091442762e-01
1.8899959308695653e+14 4.2092569348468301e-01 2.2470127341984800e+00
1.8941135690631806e+14 4.1600681161227576e-01 3.6023404161908710e+00
1.8982491882096069e+14 4.1567936071869971e-01 4.9387854742846917e+00
1.9024029063457331e+14 4.2116013586451312e-01 6.3123711136253435e+00
1.9065748425438597e+14 4.1690634213672922e-01 7.6763718390957241e+00
1.9107651169230769e+14 4.1842140415014528e-01 9.0426032587837319e+00
1.9149738506607931e+14 4.2181187704646156e-01 1.0435193432690273e+01
1.9192011660044150e+14 4.1316218540729366e-01 1.1800693172843777e+01
1.9234471862831859e+14 4.2386362895875246e-01 1.3208233939353589e+01
1.9277120359201775e+14 4.1256694308623887e-01 1.4627742318356246e+01
1.9319958404444447e+14 4.2257342287624050e-01 1.5983481708823065e+01
1.9362987265033406e+14 4.2411953351492898e-01 1.7447816213271228e+01
1.9406208218750000e+14 3.8003392719652179e-01 1.8837892940936428e+01
1.9449622554809844e+14 4.2387987308492148e-01 2.0267366816664268e+01
1.9493231573991031e+14 4.0997330304685425e-01 2.1733466794868313e+01
1.9537036588764044e+14 4.1961916725390802e-01 2.3121222690282398e+01
1.9581038923423425e+14 4.1026701536472721e-01 2.4613837297241652e+01
1.9625239914221219e+14 4.0277109334982508e-01 2.5928059903892962e+01
1.9669640909502262e+14 4.1445477379540324e-01 2.7453513844952703e+01
1.9714243269841272e+14 3.5409370209467722e-01 2.8953417244134720e+01
1.9759048368181819e+14 4.0409237952317745e-01 3.0299373277664433e+01
1.9804057589977219e+14 3.9442833702817881e-01 3.1822255854293537e+01
1.9849272333333331e+14 3.8772980243482119e-01 3.3221264537297579e+01
1.9894694009153316e+14 3.8103446549873354e-01 3.4719814335306829e+01
1.9940324041284403e+14 3.7487957433633801e-01 3.6102616360806572e+01
1.9986163866666666e+14 3.8280438803721062e-01 3.7664634176688516e+01
("port 1","mode 1",1,"port 4",1,"transmission")
(30, 3)
1.8737028625000000e+14 4.3547841512858376e-01 2.5817276309847239e+00
1.8777497369330453e+14 4.1603873533404462e-01 3.9888201750018064e+00
1.8818141303030303e+14 4.0840630094966757e-01 5.2386216425889618e+00
1.8858961566160522e+14 4.3168514415040771e-01 6.6155025653802833e+00
1.8899959308695653e+14 4.0145806795126460e-01 7.9324556147080454e+00
1.8941135690631806e+14 4.2237987032810692e-01 9.2675607754327771e+00
1.8982491882096069e+14 4.0228598852251618e-01 1.0657944352248766e+01
1.9024029063457331e+14 4.1146426746638520e-01 1.1967931905535684e+01
1.9065748425438597e+14 4.1449923477025480e-01 1.3366671438324357e+01
1.9107651169230769e+14 4.0338778486036442e-01 1.4703885074823003e+01
1.9149738506607931e+14 4.1335092246651139e-01 1.6097311539108674e+01
1.9192011660044150e+14 3.9077464463893397e-01 1.7455030636566736e+01
1.9234471862831859e+14 4.1571677476279489e-01 1.8867634733850981e+01
1.9277120359201775e+14 3.9380118303165396e-01 2.0295520585139929e+01
1.9319958404444447e+14 4.1802852377672300e-01 2.1613752176640361e+01
1.9362987265033406e+14 4.1805453082134253e-01 2.3107892342880703e+01
1.9406208218750000e+14 3.5780828417193689e-01 2.4424612728768356e+01
1.9449622554809844e+14 4.1951822814464190e-01 2.5921363671982533e+01
1.9493231573991031e+14 3.9243354850662326e-01 2.7388206055231961e+01
1.9537036588764044e+14 4.2025607343188354e-01 2.8743624608865055e+01
1.9581038923423425e+14 4.0648518771926412e-01 3.0286527114318634e+01
1.9625239914221219e+14 3.9032926258216161e-01 3.1509653861331888e+01
1.9669640909502262e+14 4.1527081348302219e-01 3.3105331026361696e+01
1.9714243269841272e+14 3.0859873419130834e-01 3.4669429966846593e+01
1.9759048368181819e+14 4.0827490116071152e-01 3.5930707781101916e+01
1.9804057589977219e+14 3.8904309405897369e-01 3.7545896407006857e+01
1.9849272333333331e+14 3.7558910072538454e-01 3.8820905811513761e+01
1.9894694009153316e+14 3.9372493586686108e-01 4.0411693128308791e+01
1.9940324041284403e+14 3.4641758486934426e-01 4.1673432018129155e+01
1.9986163866666666e+14 3.9256295539277031e-01 4.3311083821010065e+01
("port 1","mode 1",1,"port 5",1,"transmission")
(30, 3)
1.8737028625000000e+14 4.0734029918872638e-01 -3.0667598868439661e+00
